,pmid,doi,author,publicationyear,population,studyaim,studydesign,studysetting,totalsamplesize,sex,primaryoutcome,secondaryoutcomes,note,meanweight,meanwt_sd,lowerboundweight,upperboundweight,rangeweight,meanBMI,meanBMI_sd,lowerboundBMI,upperboundBMI,rangeBMI,meanDBP,meanDBP_sd,lowerboundDBP,upperboundDBP,meanSBP,meanSBP_sd,lowerboundSBP,upperboundSBP,meanAGE,meanAGE_sd,noofFEMALES,noofMALES,changeinbabaseBMI,changeinbabaseDBP,changeinbabaseSBP,extracted_portion,intervention_control,pmid_author_intervention,Males;Females,Sample(n),"Age (mean,sd)","Weight (mean,sd)","BMI (mean,sd)","SBP (mean,sd)","DBP (mean,sd)"
11,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,To assess the impact of bariatric surgery on hypertension improvement in patients with obesity.,RCT,Brazil,100.0,Both,"primary end point was reduction of ≥30% of the total number of antihypertensive medications while maintaining systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, at 12 months.","Secondary end points included number of antihypertensive drugs, systolic and blood pressure (offic and 24-hour ABPM), weight and BMI, waist circumference, fasting plasma glucose and glycohemoglobin, homeostasis model assessment of insulin resistance index, lipid profil (low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, and triglycerides levels), uric acid, high-sensitivity C-reactive protein levels, interventricular septum diastolic thickness, a 10-year Framingham risk score, and adverse events. secondary end points defined post hoc: remission of hypertension (defined as systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, with out medications based on office blood pressure), remission of hypertension (defined as systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, without medica tions based on 24-hour ABPM), and reduction of ≥30% of the total number of antihypertensive medications while maintain ing an office systolic blood pressure <120 mm Hg (SPRINT lev els [Systolic Blood Pressure Intervention Trial]) at 12 months.",Patients btw 18-65 years with hypertension; BMI between 30-39.9 and taking at least 2 antihypertensive medication,102.0,13.6,0.0,0.0,,37.4,2.4,32.696,42.104,,77.6,7.0,63.879999999999995,91.32,123.0,11.6,100.264,145.736,43.1,9.2,41.0,9.0,0.0,0.0,0.0,RYGBplusMT,intervention,29133606_Carlos Aurelio Schiavon _RYGBplusMT,9.0;41.0,50.0,43.1(9.2),102.0(13.6),37.4(2.4),123.0(11.6),77.6(7.0)
12,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,To assess the impact of bariatric surgery on hypertension improvement in patients with obesity.,RCT,Brazil,100.0,Both,"primary end point was reduction of ≥30% of the total number of antihypertensive medications while maintaining systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, at 12 months.","Secondary end points included number of antihypertensive drugs, systolic and blood pressure (offic and 24-hour ABPM), weight and BMI, waist circumference, fasting plasma glucose and glycohemoglobin, homeostasis model assessment of insulin resistance index, lipid profil (low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, and triglycerides levels), uric acid, high-sensitivity C-reactive protein levels, interventricular septum diastolic thickness, a 10-year Framingham risk score, and adverse events. secondary end points defined post hoc: remission of hypertension (defined as systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, with out medications based on office blood pressure), remission of hypertension (defined as systolic and diastolic blood pressure <140 mm Hg and 90 mm Hg, respectively, without medica tions based on 24-hour ABPM), and reduction of ≥30% of the total number of antihypertensive medications while maintain ing an office systolic blood pressure <120 mm Hg (SPRINT lev els [Systolic Blood Pressure Intervention Trial]) at 12 months.",Patients btw 18-65 years with hypertension; BMI between 30-39.9 and taking at least 2 antihypertensive medication,100.1,14.0,0.0,0.0,,36.4,2.9,30.715999999999998,42.083999999999996,,78.0,9.3,59.772,96.22800000000001,122.8,12.9,97.51599999999999,148.084,44.6,9.2,35.0,15.0,0.0,0.0,0.0,MT,control,29133606_Carlos Aurelio Schiavon _MT,15.0;35.0,50.0,44.6(9.2),100.1(14.0),36.4(2.9),122.8(12.9),78.0(9.3)
13,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,"To compare diabetes remission rates (glycosylated hemoglobin  6.0%, without diabetes medications) in obese T2D patients (body mass index, 35–50) undergoing RYGB or SG.",Randomised controlled trial,Sweden,49.0,Both,Remission of T2D within 1 year,"30-day surgical complication rates, weight loss, measured as reduc tion in BMI units, total weight loss (in kilograms), and per centage excess weight loss, as well as percentage weight loss, resolution of other co-morbidities associated with obesity and T2D.",Obese T2D patients with BMI of 35-50 kg/m2,119.0,15.4,0.0,0.0,,39.5,3.7,32.248,46.752,,86.8,8.4,70.336,103.264,137.9,15.9,106.736,169.06400000000002,49.1,9.2,12.0,13.0,0.0,0.0,0.0,RYGB,intervention,32540150_Ville Wallenius _RYGB,13.0;12.0,25.0,49.1(9.2),119.0(15.4),39.5(3.7),137.9(15.9),86.8(8.4)
14,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,"To compare diabetes remission rates (glycosylated hemoglobin  6.0%, without diabetes medications) in obese T2D patients (body mass index, 35–50) undergoing RYGB or SG.",Randomised controlled trial,Sweden,49.0,Both,Remission of T2D within 1 year,"30-day surgical complication rates, weight loss, measured as reduc tion in BMI units, total weight loss (in kilograms), and per centage excess weight loss, as well as percentage weight loss, resolution of other co-morbidities associated with obesity and T2D.",Obese T2D patients with BMI of 35-50 kg/m2,120.0,19.2,0.0,0.0,,40.8,4.1,32.763999999999996,48.836,,83.2,12.5,58.7,107.7,131.3,16.1,99.74400000000001,162.85600000000002,47.0,10.7,11.0,13.0,0.0,0.0,0.0,SG,control,32540150_Ville Wallenius _SG,13.0;11.0,24.0,47.0(10.7),120.0(19.2),40.8(4.1),131.3(16.1),83.2(12.5)
15,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,"To compare the early changes in endocrine–metabolic parameters associated with SG and GB, particularly with regard to the early remission of co-morbidities before significant weight loss",RCT,Brazil,51.0,Both,glycemic control 90 days after surgery,"secondary end points were the EWL90, a fall in HbA1c, systolic blood pressure (SBP), diastolic blood pressure ,14 15 (DBP), and lipid profile, and changes in hemoglobin, iron, ferritin, vitamin B12, folic acid, albumin, and uric acid.",Grade III morbidly obese participants older than 18 but less than 65 years.,123.22,19.78,0.0,0.0,98.9-177,45.62,6.51,32.8604,58.379599999999996,40-67.4,90.0,11.37,67.7148,112.2852,139.2,14.84,110.11359999999999,168.2864,38.24,9.51,23.0,2.0,0.0,0.0,0.0,SG,control,25919069_Fernando de Barros _SG,2.0;23.0,25.0,38.24(9.51),123.22(19.78),45.62(6.51),139.2(14.84),90.0(11.37)
16,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,"To compare the early changes in endocrine–metabolic parameters associated with SG and GB, particularly with regard to the early remission of co-morbidities before significant weight loss",RCT,Brazil,51.0,Both,glycemic control 90 days after surgery,"secondary end points were the EWL90, a fall in HbA1c, systolic blood pressure (SBP), diastolic blood pressure ,14 15 (DBP), and lipid profile, and changes in hemoglobin, iron, ferritin, vitamin B12, folic acid, albumin, and uric acid.",Grade III morbidly obese participants older than 18 but less than 65 years.,128.27,21.45,0.0,0.0,93.6-177.0,49.24,7.99,33.5796,64.9004,40.4-69.6,86.8,5.93,75.1772,98.4228,134.2,8.12,118.28479999999999,150.1152,35.2,10.83,23.0,2.0,0.0,0.0,0.0,GB,intervention,25919069_Fernando de Barros _GB,2.0;23.0,25.0,35.2(10.83),128.27(21.45),49.24(7.99),134.2(8.12),86.8(5.93)
17,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,"The study aimed to verify the systemic inflammatory response through the analysis of IGF-1, IL-23, and resistin levels and the lipid profile in severely obese women undergoing surgery for obesity and weight-related diseases.",RCT,Brazil,75.0,Female,"Systemic inflam matory profile 6 months after BS, as characterized by the blood levels of the inflammatory markers IGF-1, IL-23, and resistin",Any changes in clinical and anthropometric variables,Women with severe class III obesity with BMI above 40 and above 35 with comorbidities. the control constituted of those who did not meet the inclusion criteria and had no urgent need for surgery.,112.64,17.12,0.0,0.0,,46.35,5.46,35.6484,57.0516,,86.96,7.15,72.946,100.97399999999999,126.2,7.42,111.6568,140.7432,42.09,12.69,11.0,0.0,0.0,0.0,0.0,CG,control,34554379_Alan Robson_CG,0.0;11.0,11.0,42.09(12.69),112.64(17.12),46.35(5.46),126.2(7.42),86.96(7.15)
18,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,"The study aimed to verify the systemic inflammatory response through the analysis of IGF-1, IL-23, and resistin levels and the lipid profile in severely obese women undergoing surgery for obesity and weight-related diseases.",RCT,Brazil,75.0,Female,"Systemic inflam matory profile 6 months after BS, as characterized by the blood levels of the inflammatory markers IGF-1, IL-23, and resistin",Any changes in clinical and anthropometric variables,Women with severe class III obesity with BMI above 40 and above 35 with comorbidities. the control constituted of those who did not meet the inclusion criteria and had no urgent need for surgery.,125.48,20.35,0.0,0.0,,47.25,6.22,35.058800000000005,59.441199999999995,,87.6,15.55,57.12199999999999,118.078,129.58,17.74,94.80960000000002,164.3504,42.46,9.8,50.0,0.0,0.0,0.0,0.0,RYGB,intervention,34554379_Alan Robson_RYGB,0.0;50.0,50.0,42.46(9.8),125.48(20.35),47.25(6.22),129.58(17.74),87.6(15.55)
19,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,"To examine the effects of a nonsurgical approach, Intensive Life style Intervention (ILI) on the therapy of morbid obesity",Randomised controlled trial,Spain,143.0,Both,Change in body weight and body mass index,"Percentage change fast- ing plasma Glucose (FPG), glycosylated haemoglobin (HbA1c) levels, blood pressure (BP) and levels of fasting lipids obtained at baseline and every 3 months after initiation of the interven- tion.",Morbidly obese participants,122.24,20.05,0.0,0.0,,45.79,4.97,36.0488,55.5312,,86.83,9.98,67.2692,106.3908,131.85,18.74,95.11959999999999,168.5804,47.84,11.52,43.0,17.0,0.0,0.0,0.0,ILI,control,23163735_Juan Jesús Tur_ILI,17.0;43.0,60.0,47.84(11.52),122.24(20.05),45.79(4.97),131.85(18.74),86.83(9.98)
20,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,"To examine the effects of a nonsurgical approach, Intensive Life style Intervention (ILI) on the therapy of morbid obesity",Randomised controlled trial,Spain,143.0,Both,Change in body weight and body mass index,"Percentage change fast- ing plasma Glucose (FPG), glycosylated haemoglobin (HbA1c) levels, blood pressure (BP) and levels of fasting lipids obtained at baseline and every 3 months after initiation of the interven- tion.",Morbidly obese participants,132.81,24.37,0.0,0.0,,49.23,5.85,37.763999999999996,60.696,,82.84,8.88,65.43520000000001,100.2448,132.57,14.43,104.2872,160.8528,44.12,9.84,26.0,11.0,0.0,0.0,0.0,SOG,intervention,23163735_Juan Jesús Tur_SOG,11.0;26.0,37.0,44.12(9.84),132.81(24.37),49.23(5.85),132.57(14.43),82.84(8.88)
21,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,"To examine the effects of a nonsurgical approach, Intensive Life style Intervention (ILI) on the therapy of morbid obesity",Randomised controlled trial,Spain,143.0,Both,Change in body weight and body mass index,"Percentage change fast- ing plasma Glucose (FPG), glycosylated haemoglobin (HbA1c) levels, blood pressure (BP) and levels of fasting lipids obtained at baseline and every 3 months after initiation of the interven- tion.",Morbidly obese participants,126.02,17.9,0.0,0.0,,46.76,4.62,37.7048,55.8152,,86.61,9.99,67.0296,106.1904,136.07,13.97,108.68879999999999,163.4512,46.86,10.26,29.0,17.0,0.0,0.0,0.0,COT,control,23163735_Juan Jesús Tur_COT,17.0;29.0,46.0,46.86(10.26),126.02(17.9),46.76(4.62),136.07(13.97),86.61(9.99)
22,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,"Aimed at comparing the efficacy of two nonsurgical approaches versus bariatric surgery, on body weight changes and metabolic parameters in morbidly obese patients.",Randomised controlled trial,Spain,143.0,Both,Body weight in KGs and Body mass index in kg/m2.,"Percent changes in fasting plasma glucose (FPG), glycosylated hemoglobin (HbA1c), and blood pressure (BP) and of fasting lipids obtained at baseline and every three months after initi- ation of the intervention",Morbidly obese patients were selected to participate in the study BMI greater than 40 kg/m2.,122.2,20.1,0.0,0.0,,45.8,5.0,36.0,55.599999999999994,,86.8,10.0,67.19999999999999,106.4,131.9,18.7,95.248,168.55200000000002,47.8,11.5,43.0,17.0,0.0,0.0,0.0,ILI,control,194696_Bartolomé Burguera_ILI,17.0;43.0,60.0,47.8(11.5),122.2(20.1),45.8(5.0),131.9(18.7),86.8(10.0)
23,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,"Aimed at comparing the efficacy of two nonsurgical approaches versus bariatric surgery, on body weight changes and metabolic parameters in morbidly obese patients.",Randomised controlled trial,Spain,143.0,Both,Body weight in KGs and Body mass index in kg/m2.,"Percent changes in fasting plasma glucose (FPG), glycosylated hemoglobin (HbA1c), and blood pressure (BP) and of fasting lipids obtained at baseline and every three months after initi- ation of the intervention",Morbidly obese patients were selected to participate in the study BMI greater than 40 kg/m2.,126.0,17.9,0.0,0.0,,46.8,4.6,37.784,55.815999999999995,,86.6,10.0,67.0,106.19999999999999,136.1,14.0,108.66,163.54,46.9,10.3,29.0,17.0,0.0,0.0,0.0,COT,control,194696_Bartolomé Burguera_COT,17.0;29.0,46.0,46.9(10.3),126.0(17.9),46.8(4.6),136.1(14.0),86.6(10.0)
24,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,"Aimed at comparing the efficacy of two nonsurgical approaches versus bariatric surgery, on body weight changes and metabolic parameters in morbidly obese patients.",Randomised controlled trial,Spain,143.0,Both,Body weight in KGs and Body mass index in kg/m2.,"Percent changes in fasting plasma glucose (FPG), glycosylated hemoglobin (HbA1c), and blood pressure (BP) and of fasting lipids obtained at baseline and every three months after initi- ation of the intervention",Morbidly obese patients were selected to participate in the study BMI greater than 40 kg/m2.,132.8,24.4,0.0,0.0,,49.2,5.9,37.636,60.764,,82.8,8.9,65.356,100.244,132.6,14.4,104.37599999999999,160.82399999999998,44.1,9.8,26.0,11.0,0.0,0.0,0.0,SOG,intervention,194696_Bartolomé Burguera_SOG,11.0;26.0,37.0,44.1(9.8),132.8(24.4),49.2(5.9),132.6(14.4),82.8(8.9)
25,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,The aim of this study was to compare the efficacy and safety of 12-month implantation of a duodeno-jejunal bypass liner (DJBL) with conventional medical care in patients with metabolic syndrome (MS).,Randomised controlled trial,France,80.0,Both,primary aim was to evaluate the efficacy of DJBL in reducing MS prevalence at 1 year after implantation. Rate of resolution of MS.,"included body weight, glucose control (HbA1c and fasting blood glucose), blood pressure, lipids (plasma choles- terol, triglycerides). ","The participants had obesity, BMI greater than 30 kg/m2 and diagnosed with metabolic syndrome.",0.0,0.0,0.0,0.0,,38.4,0.0,36.8,39.9,,81.8,0.0,78.8,84.8,133.9,0.0,128.3,139.5,48.1,0.0,34.0,15.0,0.0,0.0,0.0,DJBL,intervention,32889869_Robert Caiazzo_DJBL,15.0;34.0,49.0,48.1(0.0),0.0(0.0),38.4(0.0),133.9(0.0),81.8(0.0)
26,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,The aim of this study was to compare the efficacy and safety of 12-month implantation of a duodeno-jejunal bypass liner (DJBL) with conventional medical care in patients with metabolic syndrome (MS).,Randomised controlled trial,France,80.0,Both,primary aim was to evaluate the efficacy of DJBL in reducing MS prevalence at 1 year after implantation. Rate of resolution of MS.,"included body weight, glucose control (HbA1c and fasting blood glucose), blood pressure, lipids (plasma choles- terol, triglycerides). ","The participants had obesity, BMI greater than 30 kg/m2 and diagnosed with metabolic syndrome.",0.0,0.0,0.0,0.0,,37.9,0.0,36.3,39.5,,81.7,0.0,76.5,86.4,138.0,0.0,129.9,146.1,46.7,0.0,20.0,11.0,0.0,0.0,0.0,MT,control,32889869_Robert Caiazzo_MT,11.0;20.0,31.0,46.7(0.0),0.0(0.0),37.9(0.0),138.0(0.0),81.7(0.0)
27,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,To evaluate safety and efficacy of the poseTM procedure for obesity treatment.,Randomised controlled trials,USA,332.0,Both,Total body weight loss,"Comorbidities resolution, triglycerides","Patients with class I and II obesity, aged between 22 and 6o years",98.7,11.6,0.0,0.0,,36.2,2.2,31.888,40.512,,79.44,0.0,0.0,0.0,133.0,0.0,0.0,0.0,45.3,9.1,101.0,10.0,0.0,0.0,0.0,Sham,control,28000425_Shelby Sullivan_Sham,10.0;101.0,111.0,45.3(9.1),98.7(11.6),36.2(2.2),133.0(0.0),79.44(0.0)
28,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,To evaluate safety and efficacy of the poseTM procedure for obesity treatment.,Randomised controlled trials,USA,332.0,Both,Total body weight loss,"Comorbidities resolution, triglycerides","Patients with class I and II obesity, aged between 22 and 6o years",99.7,12.2,0.0,0.0,,36.0,2.4,31.296,40.704,,77.97,0.0,0.0,0.0,132.3,0.0,0.0,0.0,44.2,8.6,195.0,26.0,0.0,0.0,0.0,POSE,intervention,28000425_Shelby Sullivan_POSE,26.0;195.0,221.0,44.2(8.6),99.7(12.2),36.0(2.4),132.3(0.0),77.97(0.0)
